Date,voo.trt,blv.trt,rfr.trt
2018-07-01,0.040473626611214675,0.004214005999178871,0.0019
2018-08-01,0.03219813147372341,0.004729443284431367,0.0019
2018-09-01,0.0012372709909196367,-0.01272107286514712,0.0019
2018-10-01,-0.06416715737088285,-0.032162132905235286,0.0019
2018-11-01,0.018851295857757133,0.003819323407676878,0.0019
2018-12-01,-0.09338015128089172,0.04054893151676264,0.0019
2019-01-01,0.08503840699889786,0.02517043189317847,0.0019
2019-02-01,0.032498875590708964,-0.011105866319895408,0.0019
2019-03-01,0.013550778705788247,0.04861625488179233,0.0019
2019-04-01,0.04619689913154379,-0.005920896570342338,0.0019
2019-05-01,-0.06347913432852903,0.04181846017863822,0.0019
2019-06-01,0.06438087218720168,0.02693312242360535,0.0019
2019-07-01,0.019873563919021286,0.0051749143125059405,0.0019
